n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2269T2615953W,4,2,4,20,6,4,6,159.3,23.8,100.0,18589.8,23821.0,2787.0,1979,3
2231T0461783S,3,2,4,22,6,7,6,102.3,2.8,100.0,7403.0,17026.9,2147.0,1989,3
2214T0422455L,2,2,5,25,6,4,6,440.9,58.7,177.1,108961.0,131391.2,8739.0,1996,6
2395T2119682O,4,2,0,9,6,7,6,2458.9,89.8,66.1,77753.0,178831.9,10799.9,2002,7
2394T2686905U,5,2,5,25,6,2,6,277.8,79.2,96.0,47876.5,49847.3,4600.5,1970,5
2421T0198221K,5,2,4,9,6,7,6,1085.7,30.2,100.0,120784.3,277804.0,0.4,-1,7
2220T2607606Y,4,2,5,25,6,7,6,173.0,4.8,279.0,13411.0,30845.3,2163.8,2008,4
2295T0788585M,3,2,4,10,6,7,6,1238.3,82.6,100.0,29298.3,53751.3,3382451.0,1989,7
2331T0921359T,4,2,2,19,6,7,6,111.1,3.1,100.0,70562.3,162293.4,20468.3,-1,3
2193T0221789N,0,6,0,25,4,7,2,189.0,19.0,14151.5,1698382.0,189.0,163585.7,1995,4
2291T2483783G,4,2,4,25,6,7,6,709.1,19.7,100.0,647026.3,1488160.6,76192.0,1970,6
2144T0756797W,1,2,4,5,6,7,6,152.0,4.2,100.0,67452.5,155140.8,8094.5,2006,3
2495T0368114P,5,2,4,26,6,7,6,190.8,5.3,100.0,9387.3,21590.9,1380.0,-1,3
2221T0382101Q,3,2,5,25,6,7,6,149.0,4.1,179.8,11649.0,26792.7,1927.0,1970,3
2386T1116166L,4,2,4,22,6,7,6,346.9,9.7,100.0,23479.7,54003.2,3918.6,-1,5
2354T2378064T,4,0,4,22,7,7,5,61.2,1.7,100.0,81372.4,187156.5,11245.7,2023,2
2475T0597539W,5,2,4,22,6,7,6,258.1,7.2,100.0,386231.0,888331.3,112034.0,-1,4
2211T0164344Z,3,2,4,20,6,7,6,57.6,1.6,100.0,1380.0,3174.0,400.0,1948,2
2144T0362648H,0,2,5,25,6,7,6,248.1,9.1,4372.5,1415214.0,3254992.2,228218.4,2006,4
2375T0985023B,4,3,4,22,6,5,6,75.5,13.6,100.0,204666.7,204666.7,22405.0,-1,2
2244T0824770G,3,2,4,25,6,7,6,311.4,8.7,100.0,8339.0,19179.7,2419.0,1947,5
2255T1014402F,3,2,5,10,6,7,3,231.0,39.0,519.6,80967.0,186225.0,13113.0,1948,4
2234T1853579L,3,2,4,7,6,7,6,271.4,15.1,100.0,3097.4,6030.2,402.2,2009,3
2214T0132021X,3,2,4,9,6,4,6,30.9,7.0,100.0,981.1,981.1,78.0,1948,1
2177T0399012E,0,4,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2211T1348851Y,3,2,5,25,6,7,6,117.8,3.3,350.2,17942.0,41266.6,2924.7,1900,3
2244T0064886Y,2,2,0,25,7,7,2,566.0,15.0,47.3,11646.3,566.3,635.4,1945,6
2484T0362329R,5,2,4,16,6,4,6,263.0,49.9,100.0,312363.9,349414.7,31961.4,-1,4
2206T2974994S,4,2,4,22,6,7,6,92.9,4.2,100.0,938.0999999999999,1942.2,126.6,-1,2
2391T0539567T,4,2,4,25,6,4,6,38.5,8.7,100.0,32129.0,32129.0,9320.0,-1,2
2317T2479484C,5,2,4,7,6,7,6,232.5,6.5,100.0,368770.0,848171.0,55537.0,1994,3
2395T0406790C,4,2,4,9,6,7,6,288.0,8.0,100.0,86503.0,198956.9,13234959.0,-1,5
2375T0201637V,4,2,4,22,6,7,6,194.8,5.4,100.0,36154.0,83154.2,1499952.0,-1,3
2380T0014335C,4,0,4,22,7,7,4,227.7,6.3,100.0,18387.6,42291.5,2541.2,-1,4
2159T0796423N,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2314T0338089Q,4,2,5,25,6,7,4,228.0,30.0,176.0,63063.0,63063.0,5355.0,1980,4
2260T2179224G,4,2,4,26,6,7,6,551.7,32.6,100.0,1297898.1,2480231.2,117202.8,1972,6
2349T1146036W,4,3,4,26,6,7,6,379.5,10.6,100.0,6414.0,14752.2,1860.5,-1,5
2214T3205137R,4,0,0,25,4,4,2,103.0,15.0,120.1,10677.400000000001,123.0,1386.0,2023,2
2320T0311132B,4,3,4,26,6,7,6,223.4,6.2,100.0,17280.0,39744.0,2976.0,-1,4
2173T0714101V,1,2,4,10,6,7,6,293.1,52.1,100.0,9255.5,12838.3,1393.1,1975,5
2369T2135942Y,4,3,4,9,6,7,6,160.1,4.5,100.0,3428.0,7884.4,699.0,-1,3
2213T2320651Y,4,3,4,10,6,7,6,212.5,5.9,100.0,8567.0,19704.1,2484.7,-1,4
2339T0209649P,4,2,4,22,6,4,6,210.0,37.0,100.0,21529.0,25154.7,2893.0,1988,3
2169T0895353X,1,2,5,26,6,7,3,305.0,8.0,72.7,28884.0,66432.0,4827.0,2009,4
2194T0947943O,2,2,4,16,6,7,6,214.8,6.0,100.0,9658.0,22213.4,2801.0,1936,4
2269T0699122P,3,2,4,22,6,7,6,411.8,40.5,100.0,32414.6,51077.4,5354.5,1948,5
2161T0717594S,1,2,4,26,6,4,6,103.2,16.9,100.0,171689.4,209044.3,14011.0,1993,2
2226T2332922K,4,2,4,23,6,7,6,42.8,1.2,100.0,9293.0,21373.9,2016.0,-1,2
2354T1991156R,4,2,4,16,6,4,6,81.4,15.1,100.0,302658.8,342568.0,39153.3,-1,2
2359T2097118I,4,2,4,9,6,7,6,154.2,4.3,100.0,15000.0,34500.0,4351.0,-1,3
2362T3194784J,5,2,4,10,6,7,6,252.0,29.7,100.0,23255.3,38357.399999999994,4433.7,-1,4
2377T4203411H,5,2,0,25,7,7,2,191.0,5.0,630.9,52578.0,191.7,12945.2,1948,4
2371T0728271V,4,3,5,10,6,7,3,363.0,42.0,116.0,30690.0,70587.0,5112.0,1948,5
2472T0138894O,5,2,4,9,6,7,6,209.9,5.8,100.0,75703.7,174118.4,16304.3,-1,4
2367T0768569P,4,2,5,25,4,4,2,252.3,57.3,58.6,44352.0,44352.0,795.0,1990,4
2462T0179192C,5,2,4,26,6,7,6,401.6,11.2,100.0,2570.0,5911.0,745.0,-1,6
2114T0089302V,0,2,5,10,6,7,4,298.0,58.0,454.4,328305.0,328305.0,17301.0,1900,5
2292T0125235X,3,2,4,22,6,7,6,235.2,6.5,100.0,4500.0,10350.0,1000.0,1948,4
2185T0789178W,1,2,4,9,6,7,6,68.3,1.9,100.0,3183.0,7320.9,407.0,1947,2
2159T0334015P,0,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2242T0502717N,3,2,4,9,6,7,6,209.5,11.4,100.0,17036.0,33353.6,2570.7,1930,4
2278T2865592S,4,2,4,26,6,7,6,193.4,5.4,100.0,59186.0,136127.8,10440.0,-1,3
2342T4430616P,5,2,0,9,6,7,6,121.9,8.7,29889.0,2645983.6,4730992.5,321155.0,1979,3
2459T0393127G,5,3,4,22,6,7,6,519.3,14.4,100.0,6333.0,14565.9,553.0,-1,5
2204T0250638S,3,2,4,9,6,7,6,656.4,18.3,100.0,7500.0,17250.0,1200.0,1947,7
2131T0364661F,0,4,4,5,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2328T2570705A,5,2,4,9,6,2,6,114.9,21.1,100.0,79247.6,108236.29999999999,12270.5,-1,3
2285T0759515A,3,2,4,11,6,7,6,282.7,9.7,100.0,611434.5,1359547.6,168696.7,2010,3
2174T0451916V,0,2,4,22,4,4,2,125.7,28.5,100.0,8135.6,8135.6,636.3,1989,3
2321T3446506K,5,2,5,25,4,4,2,92.6,18.5,58.9,5026.0,5453.7,913.0,1975,3
2374T0872904T,4,3,4,26,6,7,6,527.0,14.7,100.0,10749.0,24722.7,1267.3,-1,5
2371T3630824M,5,2,2,9,6,7,6,721.7,20.1,100.0,1175058.0,2702633.4,168852.5,2016,7
2275T0005099Q,2,2,2,9,7,7,2,739.5,20.6,27.5,17670.0,40641.0,2881.3,1910,5
2125T0347124M,0,6,5,25,6,4,6,156.7,32.1,272.0,108810.80000000002,108810.80000000002,8258.8,1875,3
2321T0564780U,4,2,0,16,1,1,2,95.0,8.0,5620.0,427226.69999999995,95.19999999999999,44253.1,2010,2
2212T2413921F,4,2,4,22,6,7,6,243.9,6.8,1100.0,349900.0,804770.0,56001.5,1980,4
2307T3233562S,5,2,5,25,6,7,6,358.6,10.0,112.0,52389.0,120494.70000000001,8432.400000000001,2001,5
2105T0481456I,0,2,4,25,6,7,6,460.9,12.8,100.0,84788.0,195012.4,13557.0,2013,6
2207T1406948H,3,2,5,26,6,7,6,203.7,24.8,308.0,55800.0,128340.0,8977.8,1960,3
2378T3650200Z,5,2,5,25,6,7,6,169.0,4.7,574.0,42180.0,97014.0,6800.2,1980,3
2234T0639868G,2,2,5,25,6,7,3,282.0,8.0,250.0,91935.0,211452.0,14868.0,1988,4
2391T3550282M,5,2,4,9,6,7,6,303.0,8.4,100.0,8608.7,19799.9,2497.3,1992,5
2142T0410479W,0,4,4,20,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2392T1561868B,4,2,5,26,6,7,6,527.4,14.7,437.8,301147.0,692638.1,33126.2,2010,5
2192T0691744R,1,4,4,16,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2138T0344017M,0,6,5,25,6,7,6,294.3,10.7,89.0,10915.0,25104.5,2818.1,1900,5
2291T0732922L,3,2,5,25,6,7,6,306.7,8.5,39.0,5200.0,11960.0,912.2,1900,5
2435T0151755U,5,3,5,9,6,4,6,272.1,61.8,96.8,26356.0,26356.0,1951.8,1900,5
2368T1259636V,4,2,4,8,6,4,6,272.1,53.1,100.0,338983.0,372576.3,40872.0,-1,5
2311T1389773X,5,2,5,25,6,7,6,373.6,10.4,494.4,80304.0,184699.2,12895.8,2003,5
2156T0059336X,0,6,0,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2354T1410167Y,5,2,0,25,3,7,2,366.0,45.0,1619.2,389527.0,366.3,70253.4,1945,5
2181T0350981Z,0,4,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2242T2097298O,4,2,4,20,6,7,6,348.0,25.0,100.0,12146.1,21705.5,1699.0,-1,5
2380T0003325Q,4,3,4,22,6,7,6,439.2,12.2,254.0,143634.0,330358.19999999995,23021.699999999997,1930,5
2217T1183684P,3,2,4,26,6,7,6,90.6,2.5,100.0,6023.0,13852.9,1747.0,-1,2
2160T0028149O,0,6,0,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2218T0583410E,3,2,4,10,6,7,6,445.6,12.4,100.0,26000.0,59800.0,7542.0,1947,6
2274T2272045V,4,2,4,7,6,7,6,2058.0,57.3,100.0,26082.7,59990.1,7566.0,2012,7
2475T0098847K,5,3,4,7,6,7,6,341.3,9.5,100.0,10480.0,24104.0,1416.0,-1,5
2180T0252762H,0,4,4,5,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2338T4155530F,5,2,5,9,6,7,6,132.8,3.7,1845.0,107800.0,247940.0,17292.1,1997,3
2321T1238760C,5,2,5,25,4,4,2,183.8,30.4,286.0,43413.0,52557.2,3807.3999999999996,1900,4
2369T2364029N,4,3,4,22,6,7,6,239.5,6.7,100.0,16084.0,36993.2,0.1,1994,4
2306T0018543C,4,3,5,20,6,7,3,158.0,4.0,58.2,11988.0,27573.0,2184.0,1990,3
2391T0714134W,4,2,4,9,6,4,6,175.7,28.8,100.0,32115.0,39118.1,9316.0,-1,4
2294T0085676M,3,2,4,20,6,7,6,161.9,4.5,100.0,35326.3,81250.6,9183.3,1983,3
2156T0673566D,1,4,4,25,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1983,1
2326T4209933E,5,2,4,9,6,7,6,469.7,13.1,100.0,47178.0,108509.4,13685.0,2013,6
2267T1206012H,3,2,4,10,6,7,6,1035.5,92.6,100.0,208285.0,341713.6,11710.0,-1,7
2238T1580105J,3,2,5,26,6,7,3,91.0,3.0,148.5,17601.0,40479.0,2433.0,1985,2
2327T4013914A,5,2,5,22,6,7,6,366.3,61.9,188.0,50573.0,70954.4,5752.9,2000,5
2231T2622612N,4,2,4,22,6,7,6,138.4,3.8,100.0,17138.0,39417.4,4971.0,-1,3
2259T1058167Q,3,2,4,20,6,7,6,321.3,8.9,100.0,12609.0,29000.7,3657.0,-1,5
2290T0715288E,2,2,0,25,4,4,2,239.0,38.0,560.2,108526.7,239.89999999999998,11850.0,1950,4
2330T0735750X,4,2,4,9,6,7,3,301.0,8.0,195.7,76947.0,176979.0,12471.0,2007,7
2161T0710253J,1,2,4,9,6,7,6,216.7,6.0,100.0,28026.0,64459.8,8130.0,1948,4
2395T4253079H,5,2,4,10,6,7,6,868.7,94.9,100.0,164690.1,247335.0,25572.5,-1,6
2331T0010036W,4,2,5,26,6,7,6,207.3,5.8,59.0,5321.0,12238.3,931.3,2008,3
2359T3960492O,5,3,4,7,6,4,6,115.1,26.1,100.0,498425.2,498425.2,102159.0,-1,2
2392T0122285M,4,3,4,26,7,7,2,662.8,18.4,100.0,20921.9,48120.5,1597.1999999999998,-1,6
2159T0368514M,0,2,4,22,6,7,6,273.8,33.6,100.0,39638.2,56282.9,3637.7,1947,4
2238T1990877H,3,2,4,9,6,7,6,320.9,33.5,100.0,33334.7,51131.7,6010.3,-1,5
2192T0553502R,1,4,4,22,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2383T1421195F,4,3,5,20,7,7,2,222.0,6.0,27.9,6570.0,15111.0,1362.0,1961,4
2475T0271873G,5,2,0,25,6,7,6,480.4,13.4,100.0,72056.5,165730.0,14477.1,-1,6
2146T0705591M,1,2,5,25,6,7,6,177.8,4.9,141.9,21935.0,50450.5,3563.2,1978,4
2119T0667702E,1,4,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2174T0764618V,1,4,4,5,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2376T3257115G,5,2,0,25,7,7,2,961.0,42.0,2981.0,1379353.4,961.1999999999999,143697.6,1978,7
2369T4370694Y,5,3,4,22,6,7,6,175.4,4.9,100.0,7009.0,16120.7,1332.0,-1,4
2330T0425669S,4,2,4,20,6,7,6,264.9,7.4,100.0,19596.7,45072.3,1588.1,1998,4
2475T0279023G,5,2,4,26,7,7,2,159.6,4.4,100.0,13736.3,31593.6,3984.7,-1,3
2278T1198490K,3,2,4,10,6,7,6,5213.8,145.1,100.0,199484.0,458813.2,17000.0,-1,7
2388T2530631A,5,2,5,9,6,7,3,546.0,34.0,871.2,514032.0,1182273.0,82356.0,2003,7
2269T2668521S,4,2,4,9,6,7,6,130.4,3.6,100.0,7923.0,18222.9,1109.0,-1,3
2168T1020972J,2,2,5,26,7,7,2,517.9,14.4,75.5,45000.0,103500.0,7244.400000000001,1949,5
2234T2283425Z,4,3,5,9,6,7,3,307.0,9.0,80.9,29238.0,67248.0,4884.0,1900,5
2233T1138768R,3,2,5,25,7,7,2,236.0,6.6,198.0,20314.0,46722.2,3304.0,2010,4
2318T1910105Y,4,3,5,25,6,6,6,0.0,0.0,62.0,0.0,0.0,0.0,1948,7
2237T2262877U,3,2,4,22,6,7,6,232.4,6.5,100.0,19117.0,43969.1,2868.0,-1,4
2276T0953638Y,2,2,0,16,1,1,2,138.0,22.0,3672.0,411820.0,138.2,34365.899999999994,1961,3
2475T0420226D,5,2,4,9,6,7,6,207.5,5.8,100.0,2724.0,6265.2,790.0,-1,4
2383T0582517J,4,2,4,20,6,7,6,307.9,8.6,100.0,3436.0,7902.8,997.0,-1,5
2224T2990714A,4,3,4,9,6,7,6,259.0,7.2,100.0,4044.0,9301.2,1173.0,-1,4
2375T1553358C,4,3,4,22,6,7,6,347.4,9.7,100.0,36556.7,84080.3,8586.7,-1,4
2247T1293918N,3,2,4,22,6,7,6,112.1,9.9,100.0,38520.2,63390.5,7938.0,-1,3
2239T3013255O,4,2,5,25,6,7,6,197.1,21.0,169.0,21906.2,33250.0,2558.1,1900,4
2306T4019528D,5,3,4,9,6,7,6,356.3,9.9,100.0,28250.0,64975.0,8194.0,-1,5
2393T1795115D,5,2,5,25,6,7,6,3.0,0.1,316.8,407.0,936.1,118.1,1981,1
2380T3755441U,5,2,4,9,6,7,6,447.9,52.2,100.0,21843.4,36164.2,6336.0,-1,6
2375T3145400M,5,2,4,7,6,7,6,78.7,2.2,100.0,3000.0,6900.0,870.0,-1,2
2295T0858461A,3,2,4,9,6,4,6,340.3,51.3,100.0,131603.0,167853.5,9387.5,1948,5
2327T0386393Z,4,3,4,26,6,7,6,187.3,18.2,100.0,201117.3,318117.3,38463.0,1999,4
2293T1597892P,3,2,4,26,6,7,6,185.2,18.4,100.0,11681.5,18335.7,1656.3,-1,3
2169T0664020M,1,2,4,20,6,5,6,131.1,13.1,100.0,6379.0,6379.0,562.0,1948,3
2331T0594501H,4,2,4,22,6,7,6,111.1,3.1,100.0,9836.0,22622.8,968.0,-1,3
2177T0371192E,0,2,4,7,6,7,6,110.0,3.1,100.0,5629.9,12948.8,903.6,2001,3
2314T2004926T,4,2,5,10,6,7,4,304.0,52.0,136.1,89469.0,89469.0,7596.0,1925,5
2275T1788156T,3,2,4,20,4,4,2,120.4,27.3,100.0,2648.6,2648.6,352.0,-1,3
2375T2170980U,4,2,4,9,6,7,6,270.7,7.5,100.0,8289.0,19064.7,2404.0,-1,4
2257T2039019Q,4,2,4,20,6,4,6,267.8,60.8,100.0,147303.0,147303.0,8747.0,-1,3
2369T3857390M,5,3,4,22,6,7,6,103.1,2.9,100.0,3454.5,7945.4,1002.5,1985,2
2372T0131949K,4,2,4,9,6,7,6,101.6,2.8,100.0,10592.0,24361.6,1801.0,2008,3
2135T0765077Z,1,2,4,20,6,7,6,199.6,5.6,100.0,3178.0,7309.4,922.0,1948,4
2369T1454649J,4,3,4,25,6,7,6,129.7,5.9,100.0,39277.0,80817.2,5097.0,-1,3
2213T3058291S,4,2,4,9,6,7,6,340.5,9.5,100.0,70953.0,163191.9,9224.0,-1,5
2393T3344673N,5,2,4,25,6,7,6,16.7,0.5,100.0,2028.0,4664.4,588.5,-1,1
2160T0146426R,0,6,5,25,7,7,2,293.1,10.7,51.0,6500.0,14950.0,2079.5,1900,5
2269T0620983G,3,2,4,26,6,7,6,169.9,4.7,100.0,9939.5,22860.9,1499.5,2001,3
2267T2396540V,4,3,0,25,7,7,2,186.0,5.0,176.5,14338.0,186.9,1577.2,1945,3
2295T0702853C,3,2,4,9,6,7,6,248.9,16.1,100.0,174973.2,324133.9,14800.0,1995,4
2386T1519241I,4,2,4,9,6,7,6,294.8,8.2,100.0,18274.0,42030.2,5301.0,1982,5
2462T0399322Q,5,2,2,7,6,7,6,156.7,9.4,100.0,391913.0,743962.9,44711.6,2010,2
2368T4025244J,5,2,0,16,7,7,2,88.0,2.0,4557.0,174554.0,88.0,32287.6,2020,2
2363T0478678U,4,2,0,25,7,7,2,152.0,4.0,57.2,3800.0,152.8,560.9,1945,3
2384T1107486N,4,2,4,7,6,7,6,207.0,5.8,100.0,4634.0,10658.2,1344.0,-1,4
2235T0384126B,3,2,5,25,6,7,6,217.1,36.0,50.6,10584.1,17219.3,1398.1,1980,4
2131T0802993D,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1983,1
2357T4227988U,5,2,4,19,6,4,6,215.0,36.1,100.0,87247.8,104762.70000000001,12796.0,2010,4
2465T0208490B,5,2,5,25,7,7,2,186.9,5.2,108.1,4895.0,11258.5,818.5999999999999,1980,4
2113T0474700U,0,6,5,25,7,7,2,266.0,9.7,223.6,25858.0,59473.4,6074.2,1950,4
2393T0985324I,4,2,4,26,6,7,6,114.9,3.2,100.0,3186.0,7327.8,437.8,-1,3
2105T0882395B,2,2,4,9,6,7,6,209.7,5.8,100.0,5649.0,12992.7,1639.0,1947,4
2213T1580151E,3,2,4,10,6,7,6,152.3,4.2,100.0,5856.0,13468.8,1699.0,-1,3
2363T4067258C,5,3,5,25,6,6,6,0.0,0.0,605.0,0.0,0.0,0.0,1948,7
2278T0314728O,3,2,4,7,6,7,6,1273.5,35.4,100.0,21317.0,49029.1,3710.0,1948,7
2244T0138633J,2,2,0,22,7,7,2,471.0,13.0,55.0,11273.0,471.4,1127.0,1945,5
2141T0072737T,0,6,0,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2195T0374906S,0,6,5,26,6,7,6,554.7,22.1,10785.0,7786900.0,17909870.0,1246524.4,1991,6
2275T0560350L,3,2,4,22,6,7,6,101.3,5.6,100.0,40416.8,78904.6,10200.0,1969,2
2233T2597272Z,4,3,4,26,6,7,6,109.0,3.0,100.0,5369.0,12348.7,1557.0,-1,2
2260T0144542G,2,2,5,25,6,7,6,595.7,16.6,71.6,18543.0,42648.9,3020.8,1900,7
2392T3748707G,5,2,4,20,6,4,6,226.5,31.8,100.0,11092.3,14702.4,1700.0,1970,4
2306T2372575U,5,2,4,22,6,7,6,400.7,11.2,60.3,4374.0,10060.2,785.8,1949,5
2294T1465354A,3,2,4,9,6,7,6,549.2,15.3,100.0,308125.0,708687.5,26191.0,-1,7
2126T0561915S,0,2,0,20,6,7,6,483.6,44.5,12980.0,5551554.0,12768574.2,889577.7000000001,1974,4
2259T0642356X,2,2,0,22,7,7,2,314.0,27.0,1479.0,254787.0,314.4,34517.4,1985,4
2151T0849417L,1,4,4,6,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2313T0448944G,4,2,4,16,6,7,6,200.3,19.4,100.0,439893.3,776862.9,127600.0,-1,3
2306T1022060X,4,3,4,9,6,7,6,250.7,7.0,100.0,3150.3,7245.8,624.0,-1,4
2321T2090756E,5,2,5,25,7,7,2,226.7,6.3,1595.0,157208.0,361578.4,25192.0,2011,4
2213T0716348Z,2,2,4,26,6,7,6,347.3,9.7,100.0,169760.0,390448.0,49242.0,1989,4
2313T3616551H,5,2,4,23,6,7,6,52.7,1.5,100.0,933.0,2145.9,258.0,-1,2
2313T2632340A,5,2,4,22,6,7,6,125.6,3.5,100.0,122791.0,282419.3,35618.0,-1,3
2184T0317090P,0,4,4,8,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2283T0393801A,3,2,4,13,7,7,2,81.7,2.3,100.0,3469.0,7978.7,728.0,1989,2
2347T0785337T,4,3,5,25,6,6,6,0.0,0.0,114.4,0.0,0.0,0.0,2002,6
2285T0768818V,3,2,4,22,6,7,6,341.2,9.5,100.0,25101.5,57733.5,7281.0,2006,4
2302T2655727C,5,2,4,9,6,7,0,127.2,3.5,100.0,7500.0,17250.0,2176.0,-1,3
2214T1781241L,3,2,4,9,6,7,6,278.5,35.3,100.0,256252.3,358090.4,17844.0,1983,5
2377T1245051F,4,0,0,22,7,7,2,87.0,2.0,231.6,12209.6,825.9000000000001,2051.0,2023,2
2301T0908586I,4,2,4,9,6,7,6,1209.4,33.7,100.0,43062.0,99042.6,5067.7,-1,7
2344T1430620F,4,2,4,26,6,7,6,128.5,3.6,100.0,1719.4,3954.6,280.6,2018,3
2417T0418968N,5,2,0,25,7,7,2,388.0,19.0,341.0,63224.4,388.4,12374.1,1945,6
2333T0169628C,4,2,4,26,6,7,6,141.4,3.9,100.0,59920.0,137816.0,29441.0,-1,3
2257T1287850N,3,2,0,25,7,7,2,870.0,24.0,495.0,187417.0,870.8,12182.1,1991,7
2206T0201481D,2,2,4,19,6,7,6,260.1,7.2,43.0,14586.0,33547.8,3432.2999999999997,1920,4
2383T3696514M,5,2,4,10,6,7,6,3009.6,83.7,100.0,41886.0,96337.8,6681.0,-1,7
2454T0552444Q,5,3,4,10,6,7,6,555.1,15.4,100.0,12340.0,28382.0,3579.0,-1,7
2350T3908777E,5,2,4,26,6,7,6,33.4,0.9,100.0,28742.5,66107.8,9815.9,-1,1
2266T0484527V,3,2,2,7,6,7,6,186.8,6.3,100.0,385529.0,854842.0,63249.5,1979,2
2249T3059565C,4,3,4,9,6,7,6,123.0,3.4,100.0,10816.0,24876.8,3137.0,-1,3
2363T2909901J,5,2,4,22,7,7,2,136.6,3.8,100.0,23652.0,54399.6,0.0,-1,3
2292T0979104A,3,2,4,7,6,4,6,121.8,27.6,100.0,114412.6,114412.6,12725.0,-1,3
2215T1122472F,3,2,4,10,6,7,6,408.1,11.4,100.0,11319.0,26033.7,1358.0,-1,6
2259T3138144T,4,2,4,20,6,7,6,4036.5,112.3,100.0,361000.0,830300.0,135.7,-1,7
2459T0368446Z,5,3,4,9,6,7,6,388.4,12.0,100.0,63444.4,143137.69999999998,8920.5,-1,6
2302T3293666F,5,2,4,22,6,4,6,364.6,46.5,100.0,40893.3,56950.1,4806.3,-1,5
2392T1633926N,5,3,5,25,4,4,2,429.5,86.9,45.0,50810.0,50810.0,3547.0,1900,6
2238T0621297D,3,2,4,22,6,7,6,97.6,2.7,100.0,24565.0,56499.5,4275.0,2001,2
2217T0884290L,3,2,4,9,6,7,6,195.3,5.4,100.0,31000.0,71300.0,4630.1,1947,4
2405T0526184T,5,2,4,25,6,7,6,466.6,13.0,100.0,3450.0,7935.0,1001.0,-1,6
2149T0426707H,0,2,4,7,6,7,6,776.7,21.6,100.0,27116.0,62366.8,4587.1,2013,7
2373T2478399N,5,3,4,9,6,7,6,83.7,2.3,100.0,2502.3,5755.4,725.7,1997,2
2294T1585520U,3,2,4,25,6,4,6,96.4,13.3,100.0,44744.7,59824.7,12980.3,2001,3
2394T0757188X,4,3,5,25,6,7,6,203.0,12.1,11.6,1234.5,2348.8,173.8,1900,4
2278T0061570S,2,2,4,9,6,4,6,118.1,26.8,100.0,12191.2,12191.2,550.1,1970,3
2377T0665179L,4,2,4,9,6,7,6,399.0,11.1,100.0,27172.0,62495.6,3804.0,1990,6
2369T1961963L,4,2,4,7,6,7,6,529.6,14.7,100.0,27862.0,64082.6,5294.0,-1,7
2262T1321909R,3,2,4,9,6,7,6,352.9,9.8,2439.9,786128.0,1808094.4,113917.0,1948,6
2294T1820704I,3,2,4,7,4,4,2,217.5,49.4,100.0,4114.4,4114.4,1234.0,2006,3
2415T0374578D,5,3,4,10,6,2,6,117.4,38.0,100.0,14955.0,14955.0,1367.0,-1,3
2392T3036946V,5,2,4,22,6,5,6,133.1,35.4,100.0,12150.0,12150.0,2750.0,-1,3
2215T0306038X,3,2,4,25,6,4,6,95.9,14.9,100.0,8076.3,10129.0,1068.0,1998,3
2106T0583088H,1,2,4,9,6,7,6,229.7,6.4,76.9,7684.0,17673.2,1303.1,1997,4
2355T1370880Y,4,3,4,26,6,7,6,484.6,37.5,100.0,47291.0,89327.8,4872.0,-1,5
2324T3228280F,5,2,5,25,7,7,2,93.2,2.6,356.0,15625.0,35937.5,2554.3,1982,3
2380T2033289E,5,2,5,25,6,7,6,229.1,6.4,250.0,24907.0,57286.1,4038.4,2013,4
2475T0450401S,5,3,4,23,7,7,2,84.5,2.4,100.0,29373.8,67559.8,2517.4,-1,2
2331T0335930G,4,2,5,26,7,7,2,183.9,5.1,253.0,20229.0,46526.7,13248.8,1986,3
2235T0398434J,3,2,4,20,6,7,6,190.4,5.3,100.0,14934.0,34348.2,1596.4,2006,3
2393T1141951L,4,3,4,9,6,7,6,300.9,8.4,100.0,16045.0,36903.5,2227.0,2006,5
2275T0280882R,3,2,4,7,6,7,6,316.7,8.8,100.0,8250.0,18975.0,505.0,1947,4
