n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2341T1333823D,5,0,5,25,7,7,4,57.7,1.6,390.6,9015.1,20734.7,1542.1000000000001,2023,2
2341T2779841F,5,2,5,25,6,7,6,241.5,6.7,356.0,112143.0,257928.9,17986.5,1990,4
2275T0863269E,3,2,5,25,6,7,6,744.3,20.7,198.5,64239.0,147749.7,10327.2,1750,7
2267T0048307E,2,2,4,23,6,7,6,139.3,14.5,100.0,89966.9,138302.7,16656.3,1947,3
2334T0377417A,4,2,4,10,6,7,6,249.8,7.0,100.0,48992.0,112681.6,14211.0,-1,4
2217T1568739K,3,2,4,20,6,7,6,69.4,1.9,100.0,1328.0,3054.4,182.0,-1,2
2103T0585549V,0,6,0,25,7,7,2,615.0,25.0,4440.7,1240889.9,615.5,108929.0,1995,7
2124T0825279A,1,2,4,7,6,7,6,220.6,6.1,100.0,13782.0,31698.6,1947.7,1948,4
2385T3895837V,5,0,0,25,4,4,2,170.0,27.0,176.8,20889.6,176.5,2418.0,2023,3
2324T4186994V,5,2,5,25,7,7,2,32.1,0.9,740.0,31017.0,71339.09999999999,5015.3,1970,2
2253T1297537Y,3,2,4,10,6,2,6,254.4,50.5,100.0,30677.7,40320.6,3184.0,-1,4
2393T0963537J,4,2,4,9,6,4,6,125.5,27.8,100.0,75642.0,76917.3,10783.0,-1,3
2367T2435973N,5,3,4,20,4,4,2,201.0,35.5,127.0,21875.3,25523.1,1744.3999999999999,1902,4
2334T3181634N,5,3,2,7,6,7,6,142.0,4.6,100.0,231551.2,519484.3,67114.0,2008,2
2144T0994791M,2,2,4,16,6,4,6,136.9,29.3,548.4,210160.40000000002,210160.40000000002,13369.199999999999,1970,3
2143T0990368I,2,2,5,25,0,7,1,60.7,1.7,1925.0,112848.0,223514.40000000002,13265.0,1986,2
